Hour,Number of available pores,Number of pores at start,Normalised number of pores,Group
0,1264,1264,1,Zymo Kit No Fragmented
1,1193,1264,0.943829114,Zymo Kit No Fragmented
2,1117,1264,0.883702532,Zymo Kit No Fragmented
3,1053,1264,0.83306962,Zymo Kit No Fragmented
4,986,1264,0.780063291,Zymo Kit No Fragmented
5,903,1264,0.714398734,Zymo Kit No Fragmented
6,817,1264,0.646360759,Zymo Kit No Fragmented
7,735,1264,0.581487342,Zymo Kit No Fragmented
8,718,1264,0.568037975,Zymo Kit No Fragmented
9,621,1264,0.491297468,Zymo Kit No Fragmented
10,571,1264,0.451740506,Zymo Kit No Fragmented
11,518,1264,0.409810127,Zymo Kit No Fragmented
12,475,1264,0.375791139,Zymo Kit No Fragmented
13,456,1264,0.360759494,Zymo Kit No Fragmented
14,430,1264,0.340189873,Zymo Kit No Fragmented
15,386,1264,0.305379747,Zymo Kit No Fragmented
16,380,1264,0.300632911,Zymo Kit No Fragmented
17,336,1264,0.265822785,Zymo Kit No Fragmented
18,324,1264,0.256329114,Zymo Kit No Fragmented
19,299,1264,0.236550633,Zymo Kit No Fragmented
20,252,1264,0.199367089,Zymo Kit No Fragmented
21,234,1264,0.185126582,Zymo Kit No Fragmented
22,205,1264,0.162183544,Zymo Kit No Fragmented
23,225,1264,0.178006329,Zymo Kit No Fragmented
24,198,1264,0.15664557,Zymo Kit No Fragmented
25,182,1264,0.143987342,Zymo Kit No Fragmented
26,169,1264,0.133702532,Zymo Kit No Fragmented
27,182,1264,0.143987342,Zymo Kit No Fragmented
28,125,1264,0.098892405,Zymo Kit No Fragmented
29,114,1264,0.090189873,Zymo Kit No Fragmented
30,117,1264,0.092563291,Zymo Kit No Fragmented
31,166,1264,0.131329114,Zymo Kit No Fragmented
32,116,1264,0.091772152,Zymo Kit No Fragmented
33,102,1264,0.080696203,Zymo Kit No Fragmented
34,154,1264,0.121835443,Zymo Kit No Fragmented
35,92,1264,0.07278481,Zymo Kit No Fragmented
